Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,altLabel,comment,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2004/02/skos/core#notation,id,label,may_be_caused_by,may_cause
rgo:26960,otocephaly,,,false,,,rgo:00000,,,DOID:0060341|SNOMEDCT:48180002|ICD10CM:Q18.2,,RGO:26960,RGO:26960,otocephaly,,
rgo:26965,Kimura disease,,,false,,,rgo:00000,,,RADLEX:RID3480|SNOMEDCT:399894006|DOID:7365|ORDO:482,,RGO:26965,RGO:26965,Kimura disease,,
rgo:26964,agenesis/hypoplasia of the salivary glands,,,false,,,rgo:00000,,,,,RGO:26964,RGO:26964,agenesis/hypoplasia of the salivary glands,,
rgo:26967,Beckwith-Wiedemann syndrome,,,false,,,rgo:00000,exomphalos-macroglossia-gigantism syndrome|EMG syndrome|Wiedemann-Beckwith syndrome,,SNOMEDCT:81780002|ICD10CM:Q87.3|DOID:5572|ORDO:116,,RGO:26967,RGO:26967,Beckwith-Wiedemann syndrome,,
rgo:28504,oto-palato-digital syndrome type 2,,,false,,,rgo:00000,,,,,RGO:28504,RGO:28504,oto-palato-digital syndrome type 2,,
rgo:28503,oto-palato-digital syndrome type 1,,,false,,,rgo:00000,,,,,RGO:28503,RGO:28503,oto-palato-digital syndrome type 1,,
rgo:28500,insulin resistance-short fifth metacarpal syndrome,,,false,,,rgo:00000,,,ORDO:66518,,RGO:28500,RGO:28500,insulin resistance-short fifth metacarpal syndrome,,
rgo:28507,metaphyseal acroscyphodysplasia,,,false,,,rgo:00000,,,ORDO:1240,,RGO:28507,RGO:28507,metaphyseal acroscyphodysplasia,,
rgo:28508,metaphyseal-sella turcica dysplasia Rosenberg type,,,false,,,rgo:00000,,,,,RGO:28508,RGO:28508,metaphyseal-sella turcica dysplasia Rosenberg type,,
rgo:28501,metacarpal 4-5 synostosis,,,false,,,rgo:00000,,,,,RGO:28501,RGO:28501,metacarpal 4-5 synostosis,,
rgo:11149,telangiectatic osteosarcoma,,,false,,,rgo:11344,,,RADLEX:RID4024|SNOMEDCT:78453009,,RGO:11149,RGO:11149,telangiectatic osteosarcoma,,
rgo:02587,cystic teratoma,,,false,,,rgo:00000,,,SNOMEDCT:42717009|DOID:2660,,RGO:02587,RGO:02587,cystic teratoma,,
rgo:02584,pseudocyst of pancreas,,,false,,,rgo:00000,,,ICD10CM:K86.3|SNOMEDCT:111374002,,RGO:02584,RGO:02584,pseudocyst of pancreas,,
rgo:34845,osteosclerosis - ichthyosis - premature ovarian failure,,,false,,,rgo:00000,sclerosing dysplasia of bone - ichthyosis - premature ovarian failure,,ORDO:75325,,RGO:34845,RGO:34845,osteosclerosis - ichthyosis - premature ovarian failure,,
rgo:34846,premature ovarian failure,,,false,,,rgo:00000,,,SNOMEDCT:237788002|DOID:5426|HP:0008209,,RGO:34846,RGO:34846,premature ovarian failure,,
rgo:34842,Dandy-Walker complex,,,false,,,rgo:00000,,,,,RGO:34842,RGO:34842,Dandy-Walker complex,,
rgo:34848,brain malformation - congenital heart disease - postaxial polydactyly,,,false,,,rgo:00000,Goossens-Devriendt syndrome,,ORDO:75389,,RGO:34848,RGO:34848,brain malformation - congenital heart disease - postaxial polydactyly,,
rgo:34844,visceral neuropathy,,,false,,,rgo:00000,,,,,RGO:34844,RGO:34844,visceral neuropathy,,
rgo:34841,spinal muscular atrophy - Dandy-Walker complex - cataracts,,,false,,,rgo:00000,,,ORDO:73245,,RGO:34841,RGO:34841,spinal muscular atrophy - Dandy-Walker complex - cataracts,,
rgo:34840,psychomotor development delay,,,false,,,rgo:00000,,,,,RGO:34840,RGO:34840,psychomotor development delay,,
rgo:34843,visceral neuropathy - brain anomalies - facial dysmorphism - developmental delay,,,false,,,rgo:00000,,,ORDO:73246,,RGO:34843,RGO:34843,visceral neuropathy - brain anomalies - facial dysmorphism - developmental delay,,
rgo:34849,brain malformation,,,false,,,rgo:00000,,,,,RGO:34849,RGO:34849,brain malformation,,
rgo:01990,calcified granulomas,,,false,,,rgo:00000,,,,,RGO:01990,RGO:01990,calcified granulomas,,
rgo:01999,superparamagnetic contrast medium,,,false,,,rgo:00000,,,,,RGO:01999,RGO:01999,superparamagnetic contrast medium,,
rgo:01997,periportal vascular collaterals,,,false,,,rgo:00000,,,,,RGO:01997,RGO:01997,periportal vascular collaterals,,
rgo:01992,Gamna-Gandy bodies,,,false,,,rgo:00000,,,,,RGO:01992,RGO:01992,Gamna-Gandy bodies,,
rgo:30936,high body weight,,,false,,,rgo:00000,,,,,RGO:30936,RGO:30936,high body weight,,
rgo:30931,heart failure in childhood,,,false,,,rgo:00000,,,,,RGO:30931,RGO:30931,heart failure in childhood,,
rgo:30933,calcified thrombus,,,false,,,rgo:00000,,,SNOMEDCT:125299007,,RGO:30933,RGO:30933,calcified thrombus,,
rgo:30930,cardiomegaly in childhood,,,false,,,rgo:00000,,,,,RGO:30930,RGO:30930,cardiomegaly in childhood,,
rgo:30938,muscle tumor,,,false,,,rgo:00000,,,,,RGO:30938,RGO:30938,muscle tumor,,
rgo:30934,varicose vein,,,false,,,rgo:00000,,,SNOMEDCT:12856003|RADLEX:RID3366,,RGO:30934,RGO:30934,varicose vein,,
rgo:30939,lymph node excision,,,false,,,rgo:00000,,,,,RGO:30939,RGO:30939,lymph node excision,,
rgo:30932,early cementoma,,,false,,,rgo:00000,,,,,RGO:30932,RGO:30932,early cementoma,,
rgo:30935,widespread bone metastases,,,false,,,rgo:00000,,,,,RGO:30935,RGO:30935,widespread bone metastases,,
rgo:30937,soft-tissue infection,,,false,,,rgo:00000,,,,,RGO:30937,RGO:30937,soft-tissue infection,,
rgo:32048,immature ossifying fibroma,,,false,,,rgo:00000,,,,,RGO:32048,RGO:32048,immature ossifying fibroma,,
rgo:32040,epidemic parotitis,,,false,,,rgo:00000,,,SNOMEDCT:240526004,,RGO:32040,RGO:32040,epidemic parotitis,,
rgo:32042,second branchial cleft cyst,,,false,,,rgo:00000,,,SNOMEDCT:73381000119100,,RGO:32042,RGO:32042,second branchial cleft cyst,,
rgo:32049,systemic lymphoma,,,false,,,rgo:00000,,,,,RGO:32049,RGO:32049,systemic lymphoma,,
rgo:32043,glomus caroticum,,,false,,,rgo:08261,,,,,RGO:32043,RGO:32043,glomus caroticum,,
rgo:32044,jugular thrombophlebitis,,,false,,,rgo:00000,,,,,RGO:32044,RGO:32044,jugular thrombophlebitis,,
rgo:32045,infectious lymphadenopathy,,,false,,,rgo:00000,,,,,RGO:32045,RGO:32045,infectious lymphadenopathy,,
rgo:32047,solitary bone cyst,,,false,,,rgo:00000,,,SNOMEDCT:203467005|SNOMEDCT:112643007|ICD10CM:M85.4|RADLEX:RID3945|ORDO:83468,,RGO:32047,RGO:32047,solitary bone cyst,,
rgo:17414,ganglioneuroma,,,false,,,rgo:22155,,,SNOMEDCT:116371000119107|RADLEX:RID4458|SNOMEDCT:53801007|ORDO:251992|DOID:4817|HP:0003005,,RGO:17414,RGO:17414,ganglioneuroma,,
rgo:17412,unilateral adrenal enlargement,,,false,,,rgo:22561,,,,,RGO:17412,RGO:17412,unilateral adrenal enlargement,,
rgo:17418,carcinoma of adrenal cortex,,,false,,,rgo:00000,,,,,RGO:17418,RGO:17418,carcinoma of adrenal cortex,,
rgo:17411,gonorrhea,,,false,,,rgo:00000,,,SNOMEDCT:15628003|DOID:7551,,RGO:17411,RGO:17411,gonorrhea,,
rgo:17415,hyperplasia,,,false,,,rgo:00000,,,RADLEX:RID3777|SNOMEDCT:76197007,,RGO:17415,RGO:17415,hyperplasia,,
rgo:13429,mild or intermittent cyanosis in first week,,,false,,,rgo:00000,,,,,RGO:13429,RGO:13429,mild or intermittent cyanosis in first week,,
rgo:13427,persistent fetal circulation,,,false,,,rgo:00000,,,RADLEX:RID4974|ICD10CM:P29.3|SNOMEDCT:206597007|DOID:13042|HP:0011726,,RGO:13427,RGO:13427,persistent fetal circulation,,
rgo:13422,trilogy of Fallot,,,false,,,rgo:00000,,,,,RGO:13422,RGO:13422,trilogy of Fallot,,
rgo:13424,marked cyanosis in first week of life,,,false,,,rgo:00000,,,,,RGO:13424,RGO:13424,marked cyanosis in first week of life,,
rgo:13420,pulmonary vein atresia,,,false,,,rgo:00000,,,SNOMEDCT:204467000,,RGO:13420,RGO:13420,pulmonary vein atresia,,
rgo:13421,right pulmonary artery fistula to left atrium,,,false,,,rgo:00000,,,,,RGO:13421,RGO:13421,right pulmonary artery fistula to left atrium,,
rgo:13426,interruption of aortic arch,,,false,,,rgo:21017,aortic arch interruption,,ICD10CM:Q25.21|ORDO:2299,,RGO:13426,RGO:13426,interruption of aortic arch,,
rgo:23688,idiopathic bowlegs,,,false,,,rgo:00000,,,,,RGO:23688,RGO:23688,idiopathic bowlegs,,
rgo:23684,acute subarachnoid hemorrhage,,,false,,,rgo:00000,,,,,RGO:23684,RGO:23684,acute subarachnoid hemorrhage,,
rgo:23686,idiopathic patella alta,,,false,,,rgo:00000,,,,,RGO:23686,RGO:23686,idiopathic patella alta,,
rgo:23685,superficial siderosis,,,false,,,rgo:00000,,,RADLEX:RID5211|ORDO:247245,,RGO:23685,RGO:23685,superficial siderosis,,
rgo:23683,hyperacute hemorrhage,,,false,,,rgo:00000,,,,,RGO:23683,RGO:23683,hyperacute hemorrhage,,
rgo:23687,chronic subluxation,,,false,,,rgo:00000,,,,,RGO:23687,RGO:23687,chronic subluxation,,
rgo:23689,prenatal bowing,,,false,,,rgo:00000,,,,,RGO:23689,RGO:23689,prenatal bowing,,
rgo:04920,small bowel obstruction,,,false,,,rgo:00000,,,SNOMEDCT:281255004,,RGO:04920,RGO:04920,small bowel obstruction,,
rgo:04923,intussusception of appendix,,,false,,,rgo:00000,,,ICD10CM:K38.8|SNOMEDCT:91446004,,RGO:04923,RGO:04923,intussusception of appendix,,
rgo:04921,appendiceal calculus,,,false,,,rgo:00000,,,,,RGO:04921,RGO:04921,appendiceal calculus,,
rgo:04922,invagination of appendix,,,false,,,rgo:00000,,,,,RGO:04922,RGO:04922,invagination of appendix,,
rgo:31276,phosphate depletion,,,false,,,rgo:00000,,,,,RGO:31276,RGO:31276,phosphate depletion,,
rgo:31277,familial isolated tibial hemimelia,,,false,,,rgo:00000,,,,,RGO:31277,RGO:31277,familial isolated tibial hemimelia,,
rgo:31273,cherry red spots,,,false,,,rgo:00000,,,,,RGO:31273,RGO:31273,cherry red spots,,
rgo:31270,phalangeal deformities,,,false,,,rgo:00000,,,,,RGO:31270,RGO:31270,phalangeal deformities,,
rgo:31279,foot polydactyly,,,false,,,rgo:00000,,,HP:0001829,,RGO:31279,RGO:31279,foot polydactyly,,
rgo:31275,prolonged use of aluminum-containing antacid,,,false,,,rgo:00000,,,,,RGO:31275,RGO:31275,prolonged use of aluminum-containing antacid,,
rgo:31278,tibial hemimelia,,,false,,,rgo:00000,,,SNOMEDCT:79177001|ORDO:93322,,RGO:31278,RGO:31278,tibial hemimelia,,
rgo:17173,ureterocele,,,false,,,rgo:00000,,,SNOMEDCT:12818004|RADLEX:RID34640|DOID:4022|HP:0000070,,RGO:17173,RGO:17173,ureterocele,,
rgo:17172,ureteral duplication with obstruction,,,false,,,rgo:00000,,,,,RGO:17172,RGO:17172,ureteral duplication with obstruction,,
rgo:17178,anomaly of ureterovesical junction,,,false,,,rgo:00000,,,,,RGO:17178,RGO:17178,anomaly of ureterovesical junction,,
rgo:17177,ureterovesical surgery,,,false,,,rgo:00000,,,,,RGO:17177,RGO:17177,ureterovesical surgery,,
rgo:27850,familial primary spontaneous pneumothorax,,,false,,,rgo:00000,familial spontaneous pneumothorax,,ORDO:2903,,RGO:27850,RGO:27850,familial primary spontaneous pneumothorax,,
rgo:26228,cataract and rhizomelic limb shortening,,,false,,,rgo:00000,,,,,RGO:26228,RGO:26228,cataract and rhizomelic limb shortening,,
rgo:26229,cataract-dysmorphism-neuropathy syndrome,,,false,,,rgo:00000,CCFDN syndrome|congenital cataracts - facial dysmorphism - neuropathy syndrome,,ORDO:48431,,RGO:26229,RGO:26229,cataract-dysmorphism-neuropathy syndrome,,
rgo:26225,CAMAK syndrome,,,false,,,rgo:00000,cataract-microcephaly-arthrogryposis-kyphoscoliosis syndrome,,,,RGO:26225,RGO:26225,CAMAK syndrome,,
rgo:26226,CAMFAK syndrome,,,false,,,rgo:00000,,,,,RGO:26226,RGO:26226,CAMFAK syndrome,,
rgo:26224,Alves syndrome,,,false,,,rgo:00000,,,,,RGO:26224,RGO:26224,Alves syndrome,,
